village_setting_item_code	village_setting_item_name	disp_order
person_min	最低人数	1
person_max	最大人数	2
dummy_chara_id	ダミーキャラID	3
start_datetime	開始予定日時	4
term_type	期間形式	5
day_change_interval_seconds	更新間隔秒	6
is_open_vote	記名投票か	7
is_available_skill_request	役職希望可能か	8
is_available_spectate	見学可能か	9
is_open_skill_in_grave	墓下役職公開ありか	10
is_visible_grave_message	墓下見学発言を生存者が見られるか	11
is_available_suddenly_death	突然死ありか	12
is_available_commit	コミット可能か	13
character_group_id	キャラクターグループID	14
join_password	入村パスワード	15
organize	構成	16
is_auto_generated	自動生成村か	17
silent_hours	沈黙時間	18
is_available_dummy_skill	役欠けありか	19
is_for_beginner	初心者村か	20
