chara_id	face_type_code	chara_img_url
1	NORMAL	https://wolfort.net/wmansion/6/000_A.png
1	WEREWOLF	https://wolfort.net/wmansion/6/000_B.png
1	MONOLOGUE	https://wolfort.net/wmansion/6/000_C.png
2	NORMAL	https://wolfort.net/wmansion/6/001_A.png
2	WEREWOLF	https://wolfort.net/wmansion/6/001_B.png
2	MONOLOGUE	https://wolfort.net/wmansion/6/001_C.png
3	NORMAL	https://wolfort.net/wmansion/6/002_A.png
3	WEREWOLF	https://wolfort.net/wmansion/6/002_B.png
3	MONOLOGUE	https://wolfort.net/wmansion/6/002_C.png
4	NORMAL	https://wolfort.net/wmansion/6/003_A.png
4	WEREWOLF	https://wolfort.net/wmansion/6/003_B.png
4	MONOLOGUE	https://wolfort.net/wmansion/6/003_C.png
5	NORMAL	https://wolfort.net/wmansion/6/004_A.png
5	WEREWOLF	https://wolfort.net/wmansion/6/004_B.png
5	MONOLOGUE	https://wolfort.net/wmansion/6/004_C.png
6	NORMAL	https://wolfort.net/wmansion/6/005_A.png
6	WEREWOLF	https://wolfort.net/wmansion/6/005_B.png
6	MONOLOGUE	https://wolfort.net/wmansion/6/005_C.png
7	NORMAL	https://wolfort.net/wmansion/6/006_A.png
7	WEREWOLF	https://wolfort.net/wmansion/6/006_B.png
7	MONOLOGUE	https://wolfort.net/wmansion/6/006_C.png
8	NORMAL	https://wolfort.net/wmansion/6/007_A.png
8	WEREWOLF	https://wolfort.net/wmansion/6/007_B.png
8	MONOLOGUE	https://wolfort.net/wmansion/6/007_C.png
9	NORMAL	https://wolfort.net/wmansion/6/008_A.png
9	WEREWOLF	https://wolfort.net/wmansion/6/008_B.png
9	MONOLOGUE	https://wolfort.net/wmansion/6/008_C.png
10	NORMAL	https://wolfort.net/wmansion/6/009_A.png
10	WEREWOLF	https://wolfort.net/wmansion/6/009_B.png
10	MONOLOGUE	https://wolfort.net/wmansion/6/009_C.png
11	NORMAL	https://wolfort.net/wmansion/6/010_A.png
11	WEREWOLF	https://wolfort.net/wmansion/6/010_B.png
11	MONOLOGUE	https://wolfort.net/wmansion/6/010_C.png
12	NORMAL	https://wolfort.net/wmansion/6/011_A.png
12	WEREWOLF	https://wolfort.net/wmansion/6/011_B.png
12	MONOLOGUE	https://wolfort.net/wmansion/6/011_C.png
13	NORMAL	https://wolfort.net/wmansion/6/012_A.png
13	WEREWOLF	https://wolfort.net/wmansion/6/012_B.png
13	MONOLOGUE	https://wolfort.net/wmansion/6/012_C.png
14	NORMAL	https://wolfort.net/wmansion/6/013_A.png
14	WEREWOLF	https://wolfort.net/wmansion/6/013_B.png
14	MONOLOGUE	https://wolfort.net/wmansion/6/013_C.png
15	NORMAL	https://wolfort.net/wmansion/6/014_A.png
15	WEREWOLF	https://wolfort.net/wmansion/6/014_B.png
15	MONOLOGUE	https://wolfort.net/wmansion/6/014_C.png
16	NORMAL	https://wolfort.net/wmansion/6/015_A.png
16	WEREWOLF	https://wolfort.net/wmansion/6/015_B.png
16	MONOLOGUE	https://wolfort.net/wmansion/6/015_C.png
17	NORMAL	https://wolfort.net/wmansion/6/016_A.png
17	WEREWOLF	https://wolfort.net/wmansion/6/016_B.png
17	MONOLOGUE	https://wolfort.net/wmansion/6/016_C.png
18	NORMAL	https://wolfort.net/wmansion/6/017_A.png
18	WEREWOLF	https://wolfort.net/wmansion/6/017_B.png
18	MONOLOGUE	https://wolfort.net/wmansion/6/017_C.png
19	NORMAL	https://wolfort.net/wmansion/6/018_A.png
19	WEREWOLF	https://wolfort.net/wmansion/6/018_B.png
19	MONOLOGUE	https://wolfort.net/wmansion/6/018_C.png
20	NORMAL	https://wolfort.net/wmansion/6/019_A.png
20	WEREWOLF	https://wolfort.net/wmansion/6/019_B.png
20	MONOLOGUE	https://wolfort.net/wmansion/6/019_C.png
21	NORMAL	https://wolfort.net/wmansion/6/020_A.png
21	WEREWOLF	https://wolfort.net/wmansion/6/020_B.png
21	MONOLOGUE	https://wolfort.net/wmansion/6/020_C.png
22	NORMAL	https://wolfort.net/wmansion/6/021_A.png
22	WEREWOLF	https://wolfort.net/wmansion/6/021_B.png
22	MONOLOGUE	https://wolfort.net/wmansion/6/021_C.png
