chara_id	face_type_code	chara_img_url
1	NORMAL	/wmansion/6/00_100_A.png
1	WEREWOLF	/wmansion/6/00_100_B.png
1	MONOLOGUE	/wmansion/6/00_100_C.png
2	NORMAL	/wmansion/6/01_100_A.png
2	WEREWOLF	/wmansion/6/01_100_B.png
2	MONOLOGUE	/wmansion/6/01_100_C.png
3	NORMAL	/wmansion/6/02_100_A.png
3	WEREWOLF	/wmansion/6/02_100_B.png
3	MONOLOGUE	/wmansion/6/02_100_C.png
4	NORMAL	/wmansion/6/03_100_A.png
4	WEREWOLF	/wmansion/6/03_100_B.png
4	MONOLOGUE	/wmansion/6/03_100_C.png
5	NORMAL	/wmansion/6/04_100_A.png
5	WEREWOLF	/wmansion/6/04_100_B.png
5	MONOLOGUE	/wmansion/6/04_100_C.png
6	NORMAL	/wmansion/6/05_100_A.png
6	WEREWOLF	/wmansion/6/05_100_B.png
6	MONOLOGUE	/wmansion/6/05_100_C.png
7	NORMAL	/wmansion/6/06_100_A.png
7	WEREWOLF	/wmansion/6/06_100_B.png
7	MONOLOGUE	/wmansion/6/06_100_C.png
8	NORMAL	/wmansion/6/07_100_A.png
8	WEREWOLF	/wmansion/6/07_100_B.png
8	MONOLOGUE	/wmansion/6/07_100_C.png
9	NORMAL	/wmansion/6/08_100_A.png
9	WEREWOLF	/wmansion/6/08_100_B.png
9	MONOLOGUE	/wmansion/6/08_100_C.png
10	NORMAL	/wmansion/6/09_100_A.png
10	WEREWOLF	/wmansion/6/09_100_B.png
10	MONOLOGUE	/wmansion/6/09_100_C.png
11	NORMAL	/wmansion/6/10_100_A.png
11	WEREWOLF	/wmansion/6/10_100_B.png
11	MONOLOGUE	/wmansion/6/10_100_C.png
12	NORMAL	/wmansion/6/11_100_A.png
12	WEREWOLF	/wmansion/6/11_100_B.png
12	MONOLOGUE	/wmansion/6/11_100_C.png
13	NORMAL	/wmansion/6/12_100_A.png
13	WEREWOLF	/wmansion/6/12_100_B.png
13	MONOLOGUE	/wmansion/6/12_100_C.png
14	NORMAL	/wmansion/6/13_100_A.png
14	WEREWOLF	/wmansion/6/13_100_B.png
14	MONOLOGUE	/wmansion/6/13_100_C.png
15	NORMAL	/wmansion/6/14_100_A.png
15	WEREWOLF	/wmansion/6/14_100_B.png
15	MONOLOGUE	/wmansion/6/14_100_C.png
16	NORMAL	/wmansion/6/15_100_A.png
16	WEREWOLF	/wmansion/6/15_100_B.png
16	MONOLOGUE	/wmansion/6/15_100_C.png
17	NORMAL	/wmansion/6/16_100_A.png
17	WEREWOLF	/wmansion/6/16_100_B.png
17	MONOLOGUE	/wmansion/6/16_100_C.png
18	NORMAL	/wmansion/6/17_100_A.png
18	WEREWOLF	/wmansion/6/17_100_B.png
18	MONOLOGUE	/wmansion/6/17_100_C.png
19	NORMAL	/wmansion/6/18_100_A.png
19	WEREWOLF	/wmansion/6/18_100_B.png
19	MONOLOGUE	/wmansion/6/18_100_C.png
20	NORMAL	/wmansion/6/19_100_A.png
20	WEREWOLF	/wmansion/6/19_100_B.png
