village_id	village_setting_item_code	village_setting_text
1	person_min	8
1	person_max	17
1	dummy_chara_id	1
1	start_datetime	2018-03-12 00:00:00
1	term_type	long
1	day_change_interval_seconds	86400
1	is_open_vote	1
1	is_available_skill_request	1
1	is_available_spectate	0
1	is_open_skill_in_grave	0
1	is_visible_grave_message	0
1	is_available_suddenly_death	0
1	is_available_commit	0
1	character_group_id	1
1	join_password	""
1	organize	"狼狼占霊村村村村
狼狼占霊村村村村村
狼狼狂占霊狩村村村村
狼狼狂占霊狩村村村村村
狼狼狂占霊狩村村村村共共
狼狼狼狂占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村村共共
狼狼狼狂狐占霊狩村村村村村村共共
狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村村共共"
2	person_min	8
2	person_max	17
2	dummy_chara_id	1
2	start_datetime	2018-03-12 00:00:00
2	term_type	long
2	day_change_interval_seconds	86400
2	is_open_vote	1
2	is_available_skill_request	1
2	is_available_spectate	0
2	is_open_skill_in_grave	0
2	is_visible_grave_message	0
2	is_available_suddenly_death	0
2	is_available_commit	0
2	character_group_id	1
2	join_password	""
2	organize	"狼狼占霊村村村村
狼狼占霊村村村村村
狼狼狂占霊狩村村村村
狼狼狂占霊狩村村村村村
狼狼狂占霊狩村村村村共共
狼狼狼狂占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村村共共
狼狼狼狂狐占霊狩村村村村村村共共
狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村村共共"
3	person_min	8
3	person_max	17
3	dummy_chara_id	1
3	start_datetime	2018-03-12 00:00:00
3	term_type	long
3	day_change_interval_seconds	86400
3	is_open_vote	1
3	is_available_skill_request	1
3	is_available_spectate	0
3	is_open_skill_in_grave	0
3	is_visible_grave_message	0
3	is_available_suddenly_death	0
3	is_available_commit	0
3	character_group_id	1
3	join_password	""
3	organize	"狼狼占霊村村村村
狼狼占霊村村村村村
狼狼狂占霊狩村村村村
狼狼狂占霊狩村村村村村
狼狼狂占霊狩村村村村共共
狼狼狼狂占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村村共共
狼狼狼狂狐占霊狩村村村村村村共共
狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村村共共"
4	person_min	8
4	person_max	17
4	dummy_chara_id	1
4	start_datetime	2018-03-12 00:00:00
4	term_type	long
4	day_change_interval_seconds	86400
4	is_open_vote	1
4	is_available_skill_request	1
4	is_available_spectate	0
4	is_open_skill_in_grave	0
4	is_visible_grave_message	0
4	is_available_suddenly_death	0
4	is_available_commit	0
4	character_group_id	1
4	join_password	""
4	organize	"狼狼占霊村村村村
狼狼占霊村村村村村
狼狼狂占霊狩村村村村
狼狼狂占霊狩村村村村村
狼狼狂占霊狩村村村村共共
狼狼狼狂占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村村共共
狼狼狼狂狐占霊狩村村村村村村共共
狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村村共共"
5	person_min	8
5	person_max	17
5	dummy_chara_id	1
5	start_datetime	2018-03-12 00:00:00
5	term_type	long
5	day_change_interval_seconds	86400
5	is_open_vote	1
5	is_available_skill_request	1
5	is_available_spectate	0
5	is_open_skill_in_grave	0
5	is_visible_grave_message	0
5	is_available_suddenly_death	0
5	is_available_commit	0
5	character_group_id	1
5	join_password	""
5	organize	"狼狼占霊村村村村
狼狼占霊村村村村村
狼狼狂占霊狩村村村村
狼狼狂占霊狩村村村村村
狼狼狂占霊狩村村村村共共
狼狼狼狂占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村村共共
狼狼狼狂狐占霊狩村村村村村村共共
狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村村共共"
6	person_min	8
6	person_max	17
6	dummy_chara_id	1
6	start_datetime	2018-03-12 00:00:00
